issue_type,severity,element,element_index,ifc_type,ontology_class,brick_class,message,architectural_element,architectural_index,architectural_ifc_type,edge_index,predicate
terminal_not_located_in_space,medium,908,14266,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,909,14267,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,910,14268,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,911,14269,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,912,14270,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,913,14271,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,914,14272,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,915,14273,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,916,14274,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,917,14275,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,918,14276,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,919,14277,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,920,14278,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,921,14279,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,922,14280,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,923,14281,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,924,14282,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,925,14283,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,1477,14835,,brick:Luminaire,brick:Luminaire,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,1478,14836,,brick:Luminaire,brick:Luminaire,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,1479,14837,,brick:Luminaire,brick:Luminaire,Terminal/equipment has no derived architectural space location.,,,,,
